generator,difficulty,fitted_model,n_train_trajectories,fit_success,train_loglik,n_iter,optimizer_message,theta_hat,mu_hat,base_mu_hat,branch_sep_hat,delta_hat,sigma_hat,q_hat,lambda_hat,sJ_hat,obs_sd_hat
OU+B,Intermediate,OU,10,True,-9.665938849072953,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.0180282085703185,,,,0.05,,,,0.21904125615003103
OU+B,Intermediate,OU+T,10,True,-9.665932046384583,31,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0,-0.017928812453609923,,,-0.0002064211948141229,0.05,,,,0.21904123347329404
OU+B,Intermediate,OU+L,10,True,-9.662911626430901,25,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.018566475204775168,,,,0.05,,0.01279623215471459,0.2577855923185478,0.21829086576344006
OU+B,Intermediate,OU+B,10,True,-9.762659812631167,35,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0,,-0.018049646947049105,0.05,,0.05,1.0,,,0.2188451649691431
OU+B,Intermediate,OULB,10,True,-9.76102880409654,84,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.01783491377619042,0.05,-0.0013039664485225684,0.05,1.0,0.009593346433459951,0.2602296414959007,0.21827478851242138
OU+B,Difficult,OU,10,True,-73.71317989031968,19,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.07627600010543195,,,,0.05,,,,0.43812998127818287
OU+B,Difficult,OU+T,10,True,-73.63875438634615,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.054015082856790374,,,-0.04439193690260191,0.05,,,,0.437833218149957
OU+B,Difficult,OU+L,10,True,-73.46640139914953,20,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.0951488166115213,,,,0.05,,0.0810726575156653,0.6124396178218143,0.4074083288743892
OU+B,Difficult,OU+B,10,True,-73.7166256563102,25,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0,,-0.07619773388447325,0.05,,0.05,0.22540080200851983,,,0.4377831178679465
OU+B,Difficult,OULB,10,True,-73.37817583863,48,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.06969962763276487,0.05,-0.053748779797228315,0.05,0.4483843159131654,0.08120867783591477,0.6237102638868814,0.405658194194146
OULB,Easy,OU,10,True,787.9291136084656,28,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.00498443609228582,,,,0.05,,,,0.049008722503033425
OULB,Easy,OU+T,10,True,787.9541152674374,25,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.0033367176850362247,,,-0.003430305775154167,0.05,,,,0.04900655280143437
OULB,Easy,OU+L,10,True,787.9258953227168,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.004963797384135412,,,,0.05,,0.005,0.05,0.04899667581824864
OULB,Easy,OU+B,10,True,786.6051958306432,35,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.004727215148643262,0.05,,0.05,1.0,,,0.04882942789119716
OULB,Easy,OULB,10,True,786.6140053581075,48,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.0032007043039771112,0.05,-0.003124855779960459,0.05,1.0,0.005,0.05,0.04881820146814208
OULB,Intermediate,OU,10,True,0.4665526167576357,15,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,-0.0007321530739111262,,,,0.05,,,,0.20884135294784528
OULB,Intermediate,OU+T,10,True,0.46664071875546,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0,-0.0003880069695386958,,,-0.0007042085699574365,0.05,,,,0.20884131534746314
OULB,Intermediate,OU+L,10,True,0.5178896779351967,36,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0,0.001203901452862018,,,,0.05,,0.014481524353947502,0.3737459588765606,0.20691946130794348
OULB,Intermediate,OU+B,10,True,0.4109669334881616,35,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0,,-0.0007731724110315536,0.05,,0.05,0.005,,,0.20855966410588542
OULB,Intermediate,OULB,10,True,0.4293210762830153,55,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,0.003155065671073983,0.05,-0.004126612746259547,0.05,1.0,0.0139930845901868,0.3775612474337708,0.206711145429226
OULB,Difficult,OU,10,True,-72.75626965425349,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,0.022831209358610695,,,,0.05,,,,0.4270375658206134
OULB,Difficult,OU+T,10,True,-71.4546141890637,17,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.0,-0.0766776073631505,,,0.19052068107847914,0.05,,,,0.422007920148248
OULB,Difficult,OU+L,10,True,-72.75638313483171,25,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,0.02282530244313815,,,,0.05,,0.005,0.05,0.4270256490250834
OULB,Difficult,OU+B,10,True,-72.7671734275133,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,0.022784585252570877,0.05,,0.05,1.0,,,0.4267771645865643
OULB,Difficult,OULB,10,True,-71.46783356861732,42,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.07674623808133364,0.05,0.19055315419271152,0.05,1.0,0.005,0.05,0.421747456275218
Nonlinear,Easy,OU,10,True,133.02788452856103,15,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2570835035960965,0.25357984047415444,,,,0.5195816986770745,,,,0.06173123011684594
Nonlinear,Easy,OU+T,10,True,134.19585384252656,20,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.31563133691402484,-0.1380813731096401,,,0.5954554704389418,0.5221213296391858,,,,0.06154868319101634
Nonlinear,Easy,OU+L,10,True,133.02782357534034,38,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.25708338683352533,0.2535608110741967,,,,0.519569074884553,,0.005,0.05,0.06173134768898191
Nonlinear,Easy,OU+B,10,True,173.8372290378526,24,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,0.017386335357273682,1.4771084381480233,,0.49400808271948354,0.10919673502166208,,,0.06544771611618344
Nonlinear,Easy,OULB,10,True,174.4258127536645,79,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.021775905415456775,1.4505103551532146,0.06771151208614827,0.49206728543753986,0.11034135588575304,0.005,0.05,0.065768278124613
Nonlinear,Intermediate,OU,10,True,-138.9987768625394,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.49773201318379295,-0.21009808780386427,,,,0.5431786814328985,,,,0.2548025919361489
Nonlinear,Intermediate,OU+T,10,True,-138.99848081333357,18,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.4982905020972041,-0.21383198177114626,,,0.0072342312520333255,0.5433843787191587,,,,0.2547758034475822
Nonlinear,Intermediate,OU+L,10,True,-138.9341432472913,50,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.5028378420062112,-0.21266782800132897,,,,0.5009462813456975,,1.0,0.17144231364359785,0.2565662260376581
Nonlinear,Intermediate,OU+B,10,True,-114.70406286230237,32,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.021214500790984473,1.4394939869763832,,0.22020500231662313,0.12645876100274187,,,0.2843099151857871
Nonlinear,Intermediate,OULB,10,True,-114.33416359727978,52,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.056488828786894305,1.4345582639679026,0.07006510293064935,0.22487697105870832,0.12718705702273533,0.005,0.05,0.28341330990123237
Nonlinear,Difficult,OU,10,True,-107.91382264510379,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.8199009013257735,-0.33351843554932376,,,,0.7089858865908719,,,,0.4070876669318503
Nonlinear,Difficult,OU+T,10,True,-106.91366510042212,25,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9826077082427377,-0.5217993236012045,,,0.3438375402608292,0.7552684027947065,,,,0.40397014246705776
Nonlinear,Difficult,OU+L,10,True,-107.85423466191911,44,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.8391463426575677,-0.33112224194784573,,,,0.6312672265564208,,1.0,0.1863033066893342,0.41669564068304515
Nonlinear,Difficult,OU+B,10,True,-104.77310909729822,37,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,0.07111511505205495,1.4045933796899115,,0.40905527153235455,0.06438887873897785,,,0.4565377071139672
Nonlinear,Difficult,OULB,10,True,-103.42688610335445,46,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0,,-0.13871948483424237,1.3072476651369387,0.2629002433255822,0.05,0.0890445305513503,0.005,0.05,0.476719931230909
