jump_rate,jump_scale,diffusion_sigma,observation_noise,n_observations,n_replicates,n_precision_evaluable,n_recall_evaluable,precision_mean,precision_sd,precision_median,recall_mean,recall_sd,false_positive_rate_mean,f1_mean,mean_true_jumps
0.25,0.2,0.1,0.25,40,50,50,39,0.03135143020626571,0.024371546112542927,0.03225806451612903,0.7735042735042735,0.3232853542969338,0.774608758556127,0.07566382328908,1.3
0.25,0.2,0.2,0.0,20,50,13,34,0.8076923076923077,0.3839738238941522,1.0,0.23284313725490194,0.38696099243370813,0.0033402132782937733,0.7000000000000001,1.04
0.25,0.2,0.2,0.0,40,50,21,39,0.7380952380952381,0.4067876478903833,1.0,0.3311965811965812,0.42469768207231223,0.0036991647517963305,0.6645238095238095,1.3
0.25,0.2,0.2,0.1,20,50,34,34,0.18382352941176472,0.32162480216703426,0.0,0.2696078431372549,0.4342544713988414,0.06830366357069143,0.2974206349206349,1.02
0.25,0.2,0.2,0.1,40,50,50,33,0.049699134199134194,0.08291300339678641,0.0,0.3611111111111111,0.42218567093251846,0.18345059113480164,0.12023111568566114,0.96
0.25,0.2,0.2,0.25,20,50,50,40,0.06711399711399711,0.08258387865088945,0.03571428571428571,0.4508333333333333,0.41838023709542344,0.4379766819008305,0.130887654012654,1.34
0.25,0.2,0.2,0.25,40,50,50,37,0.04075855476741566,0.037095235904275985,0.045454545454545456,0.7387387387387387,0.33859399861175316,0.5502431650852704,0.10067863205624333,1.26
0.25,0.2,0.35,0.0,20,50,7,32,0.5714285714285714,0.5345224838248488,1.0,0.08854166666666667,0.26090679682757284,0.0036029411764705883,0.4523809523809524,1.1
0.25,0.2,0.35,0.0,40,50,13,38,0.6538461538461539,0.47366546671567095,1.0,0.15350877192982457,0.30604907197295683,0.002675772938930834,0.5555555555555555,1.28
0.25,0.2,0.35,0.1,20,50,22,35,0.29545454545454547,0.39818310304404375,0.0,0.10571428571428572,0.21741735929600767,0.021663693547594474,0.32040816326530613,1.32
0.25,0.2,0.35,0.1,40,50,43,37,0.12015503875968991,0.25736655091180594,0.0,0.14639639639639637,0.2815065053941843,0.0445190429927272,0.14646697388632873,1.44
0.25,0.2,0.35,0.25,20,50,46,34,0.0644927536231884,0.12608094086747146,0.0,0.24019607843137253,0.3896626713264086,0.16840084279325765,0.13533026113671276,1.0
0.25,0.2,0.35,0.25,40,50,50,36,0.039031781943546645,0.05917684847347873,0.0,0.3796296296296296,0.4246588006879919,0.3211687760635129,0.09209673768497298,1.14
0.25,0.5,0.1,0.0,20,50,32,35,0.9270833333333334,0.2502239140619033,1.0,0.7333333333333334,0.3620024193758751,0.0033986928104575167,0.84375,1.12
