replicate,scenario,event,interval,event_time,time_start,time_end,from,to,branch_from,branch_to,n_jumps,magnitude
206,branch_reorganization,branch_transition,12,0.7222222222222222,,,,,1.0,0.0,,
206,branch_reorganization,branch_transition,16,0.9444444444444444,,,,,0.0,1.0,,
212,branch_reorganization,branch_transition,10,0.611111111111111,0.5555555555555556,0.611111111111111,0.0,1.0,,,,
212,branch_reorganization,branch_transition,10,0.611111111111111,,,,,0.0,1.0,,
218,branch_reorganization,branch_transition,5,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.0,1.0,,,,
218,branch_reorganization,branch_transition,5,0.3333333333333333,,,,,0.0,1.0,,
221,branch_reorganization,branch_transition,12,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.0,1.0,,,,
221,branch_reorganization,branch_transition,12,0.7222222222222222,,,,,0.0,1.0,,
224,branch_reorganization,branch_transition,11,0.6666666666666666,0.611111111111111,0.6666666666666666,0.0,1.0,,,,
224,branch_reorganization,branch_transition,11,0.6666666666666666,,,,,0.0,1.0,,
230,branch_reorganization,branch_transition,13,0.7777777777777777,0.7222222222222222,0.7777777777777777,0.0,1.0,,,,
230,branch_reorganization,branch_transition,17,1.0,0.9444444444444444,1.0,1.0,0.0,,,,
230,branch_reorganization,branch_transition,13,0.7777777777777777,,,,,0.0,1.0,,
230,branch_reorganization,branch_transition,17,1.0,,,,,1.0,0.0,,
233,branch_reorganization,branch_transition,16,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.0,1.0,,,,
233,branch_reorganization,branch_transition,16,0.9444444444444444,,,,,0.0,1.0,,
238,jump,jump,12,0.7222222222222222,0.6666666666666666,0.7222222222222222,,,,,1.0,0.09281356029065661
239,branch_reorganization,branch_transition,5,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.0,1.0,,,,
239,branch_reorganization,branch_transition,5,0.3333333333333333,,,,,0.0,1.0,,
254,branch_reorganization,branch_transition,1,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,1.0,,,,
