n_observations,noise_sd,missing_probability,interval_pattern,replicate,observed_n,theta_true,sigma_true,theta_naive,sigma_naive,theta_abs_error_naive,sigma_abs_error_naive,theta_bound_naive,sigma_bound_naive,fit_success_naive,theta_measurement_aware,sigma_measurement_aware,theta_abs_error_measurement_aware,sigma_abs_error_measurement_aware,theta_bound_measurement_aware,sigma_bound_measurement_aware,fit_success_measurement_aware,theta_estimate,theta_abs_error,sigma_estimate,sigma_abs_error,success,theta_squared_error_naive,theta_squared_error_measurement_aware,sigma_squared_error_naive,sigma_squared_error_measurement_aware
5,0.1,0.0,regular,1,5,0.8,0.25,15.15650219969566,0.8677798604493755,14.356502199695658,0.6177798604493755,False,False,True,14.166543946647613,0.6484766718983733,13.366543946647612,0.3984766718983733,False,False,True,15.15650219969566,14.356502199695658,0.8677798604493755,0.6177798604493755,True,206.10915540986633,178.6644970776619,0.38165195597684987,0.15878365804720387
5,0.1,0.0,regular,2,5,0.8,0.25,14.896130782407354,0.7287022578158046,14.096130782407354,0.4787022578158045,False,False,True,15.483360667452882,0.4921893258941066,14.68336066745288,0.2421893258941066,False,False,True,14.896130782407354,14.096130782407354,0.7287022578158046,0.4787022578158045,True,198.70090303473216,215.6010804905023,0.22915585163794902,0.05865566957704176
5,0.1,0.0,regular,3,5,0.8,0.25,16.430335292797775,0.9097768673924336,15.630335292797774,0.6597768673924337,False,False,True,12.961173944794265,0.6274642574224735,12.161173944794262,0.3774642574224734,False,False,True,16.430335292797775,15.630335292797774,0.9097768673924336,0.6597768673924337,True,244.30738136527967,147.89415171554288,0.4353055147461729,0.14247926563149932
5,0.1,0.0,regular,4,5,0.8,0.25,13.98695634422517,0.6259706483893437,13.18695634422517,0.3759706483893437,False,False,True,19.999999999999996,0.4003648749232081,19.199999999999996,0.1503648749232081,True,False,True,13.98695634422517,13.18695634422517,0.6259706483893437,0.3759706483893437,True,173.89581762450044,368.6399999999998,0.1413539284503035,0.022609595610672016
5,0.1,0.0,regular,5,5,0.8,0.25,1.259190357782778,0.3034742988699105,0.4591903577827778,0.0534742988699105,False,False,True,1.2591743666935518,0.2542674471826663,0.4591743666935517,0.0042674471826663,False,False,True,1.259190357782778,0.4591903577827778,0.3034742988699105,0.0534742988699105,True,0.21085578468067573,0.2108410990284243,0.002859500639628512,1.8211105456846596e-05
5,0.1,0.0,regular,6,5,0.8,0.25,2.0286177223261523,0.2574636238555177,1.2286177223261523,0.0074636238555177,False,False,True,2.028638362798955,0.1587554026552885,1.2286383627989548,0.0912445973447114,False,False,True,2.0286177223261523,1.2286177223261523,0.2574636238555177,0.0074636238555177,True,1.5095015076139022,1.509552226541296,5.570568105665271e-05,0.00832557654459853
5,0.1,0.0,regular,7,5,0.8,0.25,1.3033425806597254,0.1943154819308433,0.5033425806597254,0.0556845180691566,False,False,True,1.3033554500849622,0.0980159800575589,0.5033554500849622,0.151984019942441,False,False,True,1.3033425806597254,0.5033425806597254,0.1943154819308433,0.0556845180691566,True,0.2533537535051921,0.25336670913023485,0.0031007655525942387,0.02309914231786433
5,0.1,0.0,regular,8,5,0.8,0.25,12.712475398221937,0.559916241924474,11.912475398221936,0.309916241924474,False,False,True,15.83963558271226,0.2717170921799695,15.03963558271226,0.0217170921799694,False,False,True,12.712475398221937,11.912475398221936,0.559916241924474,0.309916241924474,True,141.90707011324287,226.19063846078473,0.09604807700858908,0.0004716320927532914
5,0.1,0.0,regular,9,5,0.8,0.25,15.356810459546956,1.762074763771544,14.556810459546956,1.512074763771544,False,False,True,17.304117681269258,1.7755424600312046,16.504117681269257,1.5255424600312046,False,False,True,15.356810459546956,14.556810459546956,1.762074763771544,1.512074763771544,True,211.90073075517566,272.3859004371845,2.28637009123477,2.3272797973580595
5,0.1,0.0,irregular,0,5,0.8,0.25,19.999999999999996,0.4592664651677258,19.199999999999996,0.2092664651677258,True,False,True,0.714307748308778,4.671023941384231e-05,0.085692251691222,0.2499532897605861,False,False,True,19.999999999999996,19.199999999999996,0.4592664651677258,0.2092664651677258,True,368.6399999999998,0.007343161999911753,0.04379245344379499,0.06247664706213954
5,0.1,0.0,irregular,1,5,0.8,0.25,3.4450240311737157,0.1754318377175409,2.645024031173715,0.074568162282459,False,False,True,5.094654570828174,1.4895384956044244e-05,4.2946545708281745,0.2499851046150439,False,False,True,3.4450240311737157,2.645024031173715,0.1754318377175409,0.074568162282459,True,6.996152125486452,18.444057882735333,0.005560410826183157,0.062492552529394466
