n_observations,noise_sd,missing_probability,interval_pattern,n_fits,observed_n_mean,theta_rmse_naive,theta_rmse_measurement_aware,theta_rmse_improvement,sigma_rmse_naive,sigma_rmse_measurement_aware,sigma_rmse_improvement,theta_boundary_fraction_naive,theta_boundary_fraction_measurement_aware,theta_boundary_reduction,sigma_boundary_fraction_naive,sigma_boundary_fraction_measurement_aware,sigma_boundary_reduction,fit_success_fraction_naive,fit_success_fraction_measurement_aware
40,0.25,0.0,irregular,10,40.0,19.199999999999996,16.348083113210986,2.8519168867890095,2.0694069960841164,0.5305751422175276,1.5388318538665888,1.0,0.6,0.4,0.0,0.0,0.0,1.0,1.0
40,0.25,0.0,regular,10,40.0,12.391269471884181,12.392031182229164,-0.0007617103449835128,1.248019122069104,0.5309430548928248,0.7170760671762791,0.3,0.3,0.0,0.0,0.0,0.0,1.0,1.0
40,0.25,0.1,irregular,10,36.3,18.50769416585982,14.876101988980762,3.6315921768790584,5.9272236654328925,0.5824572032434089,5.344766462189484,0.9,0.5,0.4,0.0,0.0,0.0,1.0,1.0
40,0.25,0.1,regular,10,36.3,8.488070538896437,9.39512048399887,-0.9070499451024325,0.9263081168867132,0.3074008649718182,0.618907251914895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40,0.25,0.3,irregular,10,27.2,19.199999999999996,16.35960549178731,2.840394508212686,1.9126392968108243,0.395392137145468,1.5172471596653563,1.0,0.7,0.30000000000000004,0.0,0.0,0.0,1.0,1.0
40,0.25,0.3,regular,10,28.7,12.88259102311818,13.318306591798136,-0.43571556867995476,1.207937274732909,0.5675428016258152,0.6403944731070937,0.2,0.4,-0.2,0.0,0.0,0.0,1.0,1.0
40,0.5,0.0,irregular,10,40.0,19.199999999999996,18.495289376269398,0.7047106237305982,4.810312029488983,0.9078129867920957,3.9024990426968875,1.0,0.9,0.09999999999999998,0.0,0.0,0.0,1.0,1.0
40,0.5,0.0,regular,10,40.0,17.14201395546691,17.396404125479226,-0.25439017001231434,2.821799701932598,1.060179589894384,1.7616201120382142,0.6,0.6,0.0,0.0,0.0,0.0,1.0,1.0
40,0.5,0.1,irregular,10,36.6,19.199999999999996,18.581674480712635,0.6183255192873602,4.585424608221616,0.7036006291509173,3.8818239790706985,1.0,0.8,0.19999999999999996,0.0,0.0,0.0,1.0,1.0
40,0.5,0.1,regular,10,37.7,17.347881204810395,17.948055096080076,-0.6001738912696801,2.7816753748894882,0.899542626028384,1.8821327488611042,0.6,0.7,-0.09999999999999998,0.0,0.0,0.0,1.0,1.0
40,0.5,0.3,irregular,10,28.6,19.199999999999996,19.199999999999996,0.0,5.351515686003765,1.508657571036759,3.8428581149670062,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
40,0.5,0.3,regular,10,28.2,15.87945568203052,16.66090141469068,-0.7814457326601616,2.7406375463005457,1.0603004119442005,1.6803371343563451,0.4,0.5,-0.09999999999999998,0.0,0.0,0.0,1.0,1.0
