branch_separation,switching_rate,diffusion_sigma,observation_noise,n_observations,n_replicates,mean_true_transitions,state_accuracy_mean,state_accuracy_sd,ari_mean,ari_sd,transition_f1_mean
0.5,0.15,0.2,0.5,20,50,0.62,0.675,0.11439726698604975,0.028184222650926287,0.11169065064205955,0.08332235397452789
0.5,0.15,0.2,0.5,40,50,0.68,0.627,0.09145089013302413,0.022834522143458876,0.07221933944832667,0.07407898617263943
0.5,0.15,0.35,0.0,20,50,0.78,0.778,0.1959175170049573,0.2613722928493191,0.4000458702933317,0.16266390614216703
0.5,0.15,0.35,0.0,40,50,0.72,0.733,0.17695266287332095,0.15323645065603647,0.3319454563680758,0.008
0.5,0.15,0.35,0.1,20,50,0.8,0.768,0.16374444997605012,0.16765623337661237,0.32122940853603876,0.12826617826617828
0.5,0.15,0.35,0.1,40,50,0.74,0.7304999999999999,0.18641967685404712,0.1578011737038309,0.32176046441467226,0.05323842823842824
0.5,0.15,0.35,0.25,20,50,0.7,0.7170000000000001,0.1420010060326536,0.10702107897168771,0.23853351355600005,0.0810929810929811
0.5,0.15,0.35,0.25,40,50,0.6,0.7254999999999999,0.16370160135354295,0.08994093153402401,0.19201007456816013,0.06343807850067104
0.5,0.15,0.35,0.5,20,50,0.94,0.642,0.13490737563232041,0.02904494804892486,0.11482911819156591,0.12289186507936509
0.5,0.15,0.35,0.5,40,50,0.66,0.629,0.12199029737262396,0.010688901902156853,0.08028930151105457,0.0703494098093744
0.5,0.35,0.1,0.0,20,50,1.86,0.83,0.12494896917525643,0.40124709254383845,0.35913779765328857,0.06608187134502924
0.5,0.35,0.1,0.0,40,50,1.6,0.8554999999999999,0.1212488165311484,0.44201043437274934,0.386168419118984,0.04444444444444444
0.5,0.35,0.1,0.1,20,50,1.46,0.805,0.11123151073141027,0.2890563375261681,0.30911522167075506,0.06521592442645074
0.5,0.35,0.1,0.1,40,50,1.64,0.8234999999999999,0.12861209674276922,0.2935810700703803,0.31640995284829,0.05654979940694227
0.5,0.35,0.1,0.25,20,50,1.58,0.7190000000000001,0.12449489785463792,0.07991293111253857,0.16360925709689686,0.18070232236898903
0.5,0.35,0.1,0.25,40,50,1.78,0.715,0.09806807298389986,0.10313181239859298,0.13166634323834325,0.08893087446795887
0.5,0.35,0.1,0.5,20,50,1.78,0.619,0.13472950981995935,0.038370244489043484,0.09914108451844197,0.20676340343523006
0.5,0.35,0.1,0.5,40,50,1.44,0.6125,0.09964861734502649,0.006248481539037251,0.046838922316663346,0.09172791735896824
0.5,0.35,0.2,0.0,20,50,1.58,0.8009999999999999,0.13757743645092446,0.31405042392231314,0.3093137386908185,0.14780774780774783
0.5,0.35,0.2,0.0,40,50,1.56,0.807,0.15771325051420093,0.32541710885634423,0.34098457703516266,0.05333092833092833
0.5,0.35,0.2,0.1,20,50,1.78,0.726,0.15126675990798913,0.16149289679787165,0.2927878210358255,0.13940926798069656
0.5,0.35,0.2,0.1,40,50,1.58,0.7655,0.15607510620054116,0.14747954475748065,0.23549592070164718,0.12342228364784756
0.5,0.35,0.2,0.25,20,50,1.5,0.7340000000000001,0.13644165980598538,0.14658139284421748,0.23354385912944728,0.17354784104784104
0.5,0.35,0.2,0.25,40,50,1.48,0.701,0.11372182315292209,0.06827199047950805,0.12685689215710863,0.09918741855716647
0.5,0.35,0.2,0.5,20,50,1.66,0.627,0.12046254392879109,0.027589870356618147,0.09373148203659797,0.1712396730253873
0.5,0.35,0.2,0.5,40,50,1.84,0.62,0.09476070829586856,0.02907528979906285,0.06269904919875914,0.09203658957481507
0.5,0.35,0.35,0.0,20,50,1.68,0.7070000000000001,0.21712640915149037,0.21242375269417535,0.32409905569853803,0.11346938775510204
0.5,0.35,0.35,0.0,40,50,1.44,0.7505,0.18948708964691272,0.23460191130808575,0.3040624169589841,0.08489519739519741
0.5,0.35,0.35,0.1,20,50,1.8,0.6890000000000001,0.1688164079461375,0.10552713899949427,0.17222844228976342,0.2103552532123961
0.5,0.35,0.35,0.1,40,50,1.72,0.695,0.1569804355416851,0.14896875403191903,0.2103828470299714,0.06135608577469043
0.5,0.35,0.35,0.25,20,50,1.76,0.684,0.15663554474496208,0.0843565109229785,0.1934627550328481,0.15700371057513915
0.5,0.35,0.35,0.25,40,50,1.8,0.652,0.1347560153517066,0.04486715707786683,0.08939271018614406,0.07887662415357932
0.5,0.35,0.35,0.5,20,50,1.64,0.614,0.15354318677193604,0.05236878340918692,0.14665353597381112,0.15650019496173342
0.5,0.35,0.35,0.5,40,50,1.62,0.6125,0.11847780296713123,0.021833836142243334,0.08587543955158446,0.08596769995091996
0.5,0.7,0.1,0.0,20,50,3.14,0.785,0.1166059122665322,0.2696094748056088,0.27123331746543444,0.19055349412492267
0.5,0.7,0.1,0.0,40,50,3.18,0.7685,0.11143887315016963,0.19613388341885318,0.19028943672282614,0.03172619047619048
0.5,0.7,0.1,0.1,20,50,2.84,0.742,0.1314596236608839,0.21034742532132802,0.268620261395411,0.16429231262564595
0.5,0.7,0.1,0.1,40,50,2.9,0.7325,0.13573777992128494,0.19049919353292777,0.2565927456463885,0.10409589732131001
0.5,0.7,0.1,0.25,20,50,2.9,0.6829999999999999,0.10954916890676653,0.09590128691877721,0.1695753293788549,0.21688311688311687
0.5,0.7,0.1,0.25,40,50,3.36,0.6595,0.08934141119940989,0.09104823259755639,0.10920880585081769,0.15536979462316794
0.5,0.7,0.1,0.5,20,50,3.22,0.5670000000000001,0.11139651553558302,0.01322293374955882,0.09781408104067746,0.22250450279135436
0.5,0.7,0.1,0.5,40,50,3.14,0.602,0.07522754597532336,0.019390548825276112,0.04523349195073923,0.13256142809197213
