panel,scenario,parameter,panel_title,symbol,replicate,truth,estimate,error,absolute_error,squared_error
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,61,0.8,0.6713704150068763,-0.1286295849931237,0.1286295849931237,0.016545570135503236
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,62,0.8,0.4901194158617,-0.30988058413830005,0.30988058413830005,0.09602597642589406
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,63,0.8,1.0490854151768294,0.24908541517682936,0.24908541517682936,0.06204354405381345
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,64,0.8,1.4724217975401412,0.6724217975401412,0.6724217975401412,0.4521510738071146
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,65,0.8,1.696194816508836,0.896194816508836,0.896194816508836,0.8031651491373063
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,66,0.8,2.0302680876111956,1.2302680876111955,1.2302680876111955,1.5135595673945084
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,67,0.8,0.56751353767071,-0.23248646232929004,0.23248646232929004,0.0540499551663884
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,68,0.8,2.093557964935227,1.293557964935227,1.293557964935227,1.6732922086473656
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,69,0.8,1.5971890912606783,0.7971890912606783,0.7971890912606783,0.635510447225026
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,70,0.8,1.004345004953067,0.20434500495306707,0.20434500495306707,0.041756881049269
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,71,0.8,0.3374062021170518,-0.46259379788294824,0.46259379788294824,0.21399302183976998
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,72,0.8,0.9156136773198325,0.11561367731983241,0.11561367731983241,0.01336652238341433
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,73,0.8,0.880736306746218,0.0807363067462179,0.0807363067462179,0.00651835122701939
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,74,0.8,1.1649086282891146,0.3649086282891145,0.3649086282891145,0.13315830699984316
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,75,0.8,1.4418462529860108,0.6418462529860107,0.6418462529860107,0.4119666124721821
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,76,0.8,1.1182236401826664,0.31822364018266636,0.31822364018266636,0.10126628517110711
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,77,0.8,1.4348760463929653,0.6348760463929652,0.6348760463929652,0.40306759428356254
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,78,0.8,0.9932662863816468,0.19326628638164678,0.19326628638164678,0.03735185745175271
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,79,0.8,0.95940783035251,0.15940783035250994,0.15940783035250994,0.02541085637769459
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,80,0.8,0.3306859429874722,-0.4693140570125278,0.4693140570125278,0.2202556841095582
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,81,0.8,1.5913003603098306,0.7913003603098305,0.7913003603098305,0.6261562602264676
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,82,0.8,0.5642230907617698,-0.23577690923823025,0.23577690923823025,0.05559075092993267
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,83,0.8,0.9550912830002272,0.15509128300022712,0.15509128300022712,0.024053306062656536
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,84,0.8,1.0368407611218724,0.23684076112187236,0.23684076112187236,0.0560935461287878
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,85,0.8,1.0018365601722927,0.20183656017229268,0.20183656017229268,0.040737997022183524
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,86,0.8,1.20894640899418,0.4089464089941799,0.4089464089941799,0.16723716542923506
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,87,0.8,1.7873668860370846,0.9873668860370846,0.9873668860370846,0.9748933676425692
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,88,0.8,0.5914610353108487,-0.20853896468915134,0.20853896468915134,0.04348849979362311
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,89,0.8,1.249060104211534,0.44906010421153386,0.44906010421153386,0.20165497719447364
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,90,0.8,0.5369128337559965,-0.2630871662440035,0.2630871662440035,0.06921485704229995
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,91,0.8,2.03227125502835,1.23227125502835,1.23227125502835,1.5184924459691451
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,92,0.8,2.7494321293895188,1.9494321293895187,1.9494321293895187,3.8002856270961534
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,93,0.8,1.7311030799658915,0.9311030799658915,0.9311030799658915,0.8669529455219693
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,94,0.8,1.5974569953209117,0.7974569953209116,0.7974569953209116,0.6359376593862565
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,95,0.8,0.4531023622973325,-0.34689763770266757,0.34689763770266757,0.1203379710436912
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,96,0.8,0.8131714860035916,0.013171486003591526,0.013171486003591526,0.00017348804354280748
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,97,0.8,0.6315050633106678,-0.16849493668933224,0.16849493668933224,0.02839054368994208
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,98,0.8,1.3280647025844017,0.5280647025844016,0.5280647025844016,0.27885233011555255
C,ou,theta,Standard OU $\theta$ recovery,$\theta$,99,0.8,0.5047137105740132,-0.2952862894259869,0.2952862894259869,0.0871939927229677
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,0,0.2,0.2654062858894632,0.06540628588946318,0.06540628588946318,0.00427798223385419
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,1,0.2,-0.0174611797691461,-0.2174611797691461,0.2174611797691461,0.047289364706588885
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,2,0.2,0.0267904195244281,-0.17320958047557192,0.17320958047557192,0.030001558768523624
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,3,0.2,-0.0138957927641696,-0.21389579276416962,0.21389579276416962,0.0457514101622126
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,4,0.2,0.1542372215236361,-0.045762778476363924,0.045762778476363924,0.002094231893876757
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,5,0.2,0.1618931218766157,-0.03810687812338431,0.03810687812338431,0.001452134160310466
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,6,0.2,0.1446409541642306,-0.05535904583576942,0.05535904583576942,0.00306462395584682
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,7,0.2,-0.5870321680768823,-0.7870321680768824,0.7870321680768824,0.6194196335877981
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,8,0.2,0.3239605169159507,0.12396051691595067,0.12396051691595067,0.015366209754069693
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,9,0.2,0.1440734034185244,-0.05592659658147561,0.05592659658147561,0.0031277842051871197
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,10,0.2,0.176350161785064,-0.02364983821493602,0.02364983821493602,0.0005593148475926482
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,11,0.2,0.3119238544365155,0.11192385443651548,0.11192385443651548,0.012526949191926305
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,12,0.2,0.2987480279245726,0.0987480279245726,0.0987480279245726,0.00975117301899217
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,13,0.2,0.1869102162159322,-0.013089783784067804,0.013089783784067804,0.00017134243951364445
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,14,0.2,0.4249120636907241,0.22491206369072408,0.22491206369072408,0.05058543639362033
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,15,0.2,0.2667531349339246,0.0667531349339246,0.0667531349339246,0.004455981023506745
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,16,0.2,0.2562696523146894,0.05626965231468939,0.05626965231468939,0.0031662737716160287
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,17,0.2,0.2295504056073756,0.029550405607375596,0.029550405607375596,0.0008732264715604151
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,18,0.2,0.4962112767205812,0.2962112767205812,0.2962112767205812,0.08774112045643671
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,19,0.2,0.1345844720908909,-0.06541552790910912,0.06541552790910912,0.004279191291627435
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,20,0.2,0.1357120785553321,-0.06428792144466791,0.06428792144466791,0.004132936843675793
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,21,0.2,0.2756159491720244,0.07561594917202441,0.07561594917202441,0.005717771769186179
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,22,0.2,0.2156466330584721,0.01564663305847208,0.01564663305847208,0.00024481712606647143
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,23,0.2,0.5547292074422511,0.35472920744225106,0.35472920744225106,0.1258328106126076
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,24,0.2,0.2239670906045628,0.023967090604562785,0.023967090604562785,0.0005744214320473217
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,25,0.2,0.3212458135954578,0.12124581359545777,0.12124581359545777,0.014700547314424493
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,26,0.2,0.1018263177813726,-0.0981736822186274,0.0981736822186274,0.009638071880364038
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,27,0.2,0.1074912236254454,-0.09250877637455461,0.09250877637455461,0.008557873706317352
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,28,0.2,0.3347236563364957,0.1347236563364957,0.1347236563364957,0.018150463576674197
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,29,0.2,0.2944046963984788,0.09440469639847882,0.09440469639847882,0.008912246702088959
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,30,0.2,0.363201761772514,0.163201761772514,0.163201761772514,0.02663481504565241
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,31,0.2,0.3446609808803912,0.1446609808803912,0.1446609808803912,0.02092679938927691
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,32,0.2,0.2421476934551319,0.04214769345513189,0.04214769345513189,0.0017764280635877677
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,33,0.2,0.3389316641314079,0.1389316641314079,0.1389316641314079,0.01930200729832233
D,ou,mu,Standard OU $\mu$ recovery,$\mu$,34,0.2,0.1476713963988491,-0.05232860360115091,0.05232860360115091,0.0027382827548463836
