generator,difficulty,test_id,selected_model,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1,correct
OU,Difficult,14,OU+B,-9.18022572335611,-0.8345659748505554,0.5426499222748952,0.9090909090909091,-0.6355248484371016,0.0
OU,Difficult,15,OU,-8.36875334341719,-0.7607957584924718,0.5487362335692443,1.0,-0.45339519286426366,1.0
OU,Difficult,16,OU+B,-10.314659292401137,-0.9376962993091943,0.5872014223854412,0.9090909090909091,-0.07216783294040122,0.0
OU,Difficult,17,OULB,-7.1588748290249224,-0.6508068026386293,0.4505618802782037,0.9090909090909091,-0.09430051909628925,0.0
OU,Difficult,18,OU+B,-11.440297889952314,-1.0400270809047558,0.601914351522472,0.9090909090909091,-0.37714141807959656,0.0
OU,Difficult,19,OULB,-11.538848688782238,-1.0489862444347489,0.6357082625489184,0.9090909090909091,-0.15109198499093976,0.0
OU,Difficult,20,OU,-5.162553616678329,-0.46932305606166624,0.3723983263163614,1.0,-0.1784833199247614,1.0
OU,Difficult,21,OU+L,-6.843751014523328,-0.6221591831384843,0.44451219017713317,1.0,-0.15212148379055812,0.0
OU,Difficult,22,OU,-8.314183032778626,-0.7558348211616933,0.5492772682517302,0.9090909090909091,-0.35754319386889044,1.0
OU,Difficult,23,OU,-7.869346400829145,-0.7153951273481041,0.5111287318547859,1.0,-0.021756590116610103,1.0
OU,Difficult,24,OU,-6.0384637212805865,-0.5489512473891442,0.42290882881338915,1.0,-0.3084779968022454,1.0
OU,Easy,0,OU+L,74.9073316741,1.2696157910864407,0.06739566889458198,0.9830508474576272,-0.4467888136434485,0.0
OU,Easy,1,OU+T,79.02304312935642,1.3393736123619733,0.06295030975461104,0.9491525423728814,-0.4466138728066617,0.0
OU,Easy,2,OU+T,79.38166038605881,1.3454518709501493,0.06328897442337807,0.9661016949152542,-0.5863580005256006,0.0
OU,Easy,3,OULB,76.88828741496151,1.3031913121179917,0.06534973378064493,0.9661016949152542,-0.4828026621358777,0.0
OU,Easy,4,OU+L,82.743503812016,1.4024322680002712,0.058636907843191866,0.9661016949152542,-0.4161340423162243,0.0
OU,Easy,5,OULB,85.90311934319843,1.4559850736135327,0.05443351023142111,1.0,-0.33314967087441094,0.0
OU,Easy,6,OU+L,84.03511279885875,1.4243239457433685,0.05704271028579398,1.0,-0.5133817609490097,0.0
OU,Easy,7,OU+B,78.84060282545872,1.3362814038213342,0.062152254872206,0.9661016949152542,-0.5324272837346303,0.0
OU,Easy,8,OU+L,78.13659253092318,1.3243490259478505,0.06364204057233912,0.9322033898305084,-0.5147857789867983,0.0
OU,Easy,9,OU,85.29360003951298,1.4456542379578472,0.05613110160810123,1.0,-0.4178665644654058,1.0
OU,Easy,10,OU,83.58635075390627,1.416717809388242,0.058142233649691406,0.9661016949152542,-0.4786256017722897,1.0
OU,Easy,11,OU,71.8409615834427,1.2176434166685204,0.07157793139038189,0.9661016949152542,-0.46361572134485063,1.0
OU,Easy,12,OU,82.28954371294272,1.3947380290329274,0.06038322071615731,0.9830508474576272,-0.4273283436961899,1.0
OU,Easy,13,OU,80.03351556097199,1.356500263745288,0.06220212365387076,0.9661016949152542,-0.5101547450088593,1.0
OU,Easy,14,OU+T,84.11454020343318,1.4256701729395453,0.05792977423976711,0.9661016949152542,-0.4105486276192698,0.0
OU,Easy,15,OU+T,82.9112749041615,1.4052758458332457,0.05969804731623201,0.9661016949152542,-0.4649798552776349,0.0
OU,Easy,16,OU+T,84.02003664408366,1.4240684176963332,0.05771624623637302,0.9661016949152542,-0.4380085084367369,0.0
OU,Easy,17,OU+T,83.40828668079277,1.413699774250725,0.059180818715992456,0.9830508474576272,-0.4182667959713952,0.0
OU,Easy,18,OU,79.70412894020168,1.3509174396644352,0.06385299519056908,0.9491525423728814,-0.5145835794667082,1.0
OU,Easy,19,OU,80.99039742059385,1.3727186003490484,0.06154853183045777,0.9491525423728814,-0.5308400988195967,1.0
OU,Easy,20,OU,82.88972621382452,1.4049106137936358,0.0587050562589542,1.0,-0.37803050020402,1.0
OU,Easy,21,OU,82.27299885895877,1.3944576077789623,0.060463284861026374,0.9661016949152542,-0.4313230308685094,1.0
OU,Easy,22,OU,82.96847896563168,1.406245406197147,0.05946203034114845,0.9661016949152542,-0.49975086311426187,1.0
OU,Easy,23,OU+T,69.69114888137082,1.1812059132435733,0.07307342193811707,0.8983050847457628,-0.5774537699541077,0.0
OU,Easy,24,OU+T,78.3534185430955,1.3280240431033137,0.06420090891992007,0.9491525423728814,-0.6137546391744904,0.0
OU,Intermediate,0,OU+T,-3.9001837723578374,-0.16957320749381902,0.28377194701661107,0.9130434782608695,-0.3561513446426326,0.0
OU,Intermediate,1,OU,1.025432721766843,0.04458403138116709,0.2323679265381246,1.0,-0.3640158050133181,1.0
OU,Intermediate,2,OU+T,1.8036086497937498,0.07841776738233695,0.2172901911381393,1.0,-0.38149173376583895,0.0
OU,Intermediate,3,OU+T,0.0652597237584509,0.0028373792938456914,0.2413288127443839,0.9565217391304348,-0.3784039547351848,0.0
OU,Intermediate,4,OU+T,3.2431230679574368,0.14100535078075813,0.1988285160009239,1.0,-0.37847580917865853,0.0
OU,Intermediate,5,OU+B,-7.641061214365567,-0.3322200527985029,0.32694103869057944,0.8260869565217391,-0.184159167564408,0.0
OU,Intermediate,6,OU+T,3.1311560152995717,0.1361372180565031,0.20233906034960994,1.0,-0.4689730401778012,0.0
OU,Intermediate,7,OU+T,-0.05460394451951456,-0.00237408454432672,0.24001352767185227,1.0,-0.615321978415764,0.0
OU,Intermediate,8,OU+T,1.3043804931840566,0.05671219535582855,0.22381129929325283,1.0,-0.521516274634635,0.0
OU,Intermediate,9,OU+B,-0.34707862600367456,-0.015090375043638025,0.2509137425786067,0.9565217391304348,-0.3105223663265963,0.0
OU,Intermediate,10,OU+T,3.956097949189842,0.17200425866042793,0.1891904844254875,1.0,-0.4425697567390256,0.0
OU,Intermediate,11,OU,-1.7378844025791804,-0.07556019141648611,0.2616986791334495,1.0,-0.6572160187416329,1.0
OU,Intermediate,12,OU+T,3.142342137041041,0.13662357117569743,0.20045356283820864,1.0,0.1507111029359438,0.0
OU,Intermediate,13,OU+T,-0.5364720777360281,-0.023324872945044702,0.24982696641550498,0.9565217391304348,-0.46814420054242895,0.0
OU,Intermediate,14,OU+L,-5.553210028516568,-0.24144391428332904,0.30232597998774424,0.8695652173913043,-0.37013742887356105,0.0
OU,Intermediate,15,OU+T,1.0038100148852394,0.04364391369066258,0.23250576814954294,1.0,-0.35055757855007436,0.0
OU,Intermediate,16,OU+L,3.318947723854299,0.1443020749501869,0.19930012356599336,1.0,-0.6313698564978215,0.0
OU,Intermediate,17,OU,3.5577018919608374,0.154682690954819,0.19740954827685347,1.0,-0.47284586157165676,1.0
OU,Intermediate,18,OU+B,-4.413296658390206,-0.19188246340826984,0.2916271235067974,0.9130434782608695,-0.4389376426130864,0.0
OU,Intermediate,19,OU+L,-5.89899809875011,-0.2564781782065265,0.3101565157597462,0.9130434782608695,-0.5061670213260537,0.0
OU,Intermediate,20,OU,-8.26137491327558,-0.3591902136206774,0.32883143240226564,0.8260869565217391,-0.7368731898763259,1.0
OU,Intermediate,21,OU+T,0.5798391316065238,0.0252103970263706,0.23523078278917992,0.9565217391304348,-0.5766372120970426,0.0
OU,Intermediate,22,OU,-1.3480925196141462,-0.058612718244093316,0.2558037106099413,0.9565217391304348,-0.5363135761661472,1.0
OU,Intermediate,23,OU+B,-6.068829210085617,-0.2638621395689399,0.30453825170607196,0.9130434782608695,-0.6910507905853983,0.0
OU,Intermediate,24,OU,4.941312172954786,0.21483965969368637,0.17330579966019538,1.0,-0.23963861370469652,1.0
OU+B,Difficult,0,OU+T,-10.501187450150297,-0.954653404559118,0.5908772571245821,0.9090909090909091,-0.4703236405137163,0.0
OU+B,Difficult,1,OU+L,-3.3897612684311937,-0.3081601153119267,0.26754916387059074,1.0,-0.5273659977258184,0.0
OU+B,Difficult,2,OU,-6.5836590264495225,-0.5985144569499566,0.440280827593867,1.0,-0.3955716023092661,0.0
OU+B,Difficult,3,OU+T,-19.450477458841213,-1.7682252235310194,0.9275693040316713,0.8181818181818182,-0.28857108164257633,0.0
OU+B,Difficult,4,OU+T,-6.337322674297184,-0.5761202431179258,0.4307446252034589,1.0,-0.4968725315120872,0.0
OU+B,Difficult,5,OU,-6.839358895414801,-0.6217598995831637,0.45263930419018583,1.0,-0.2184589712354396,0.0
OU+B,Difficult,6,OU+T,-9.947282280455916,-0.9042983891323559,0.6317265184918953,0.9090909090909091,-0.480936501760071,0.0
