generator_family,replicate,fitted_model,fit_success,test_elpd,test_elpd_per_obs,test_rmse,coverage95,residual_acf1
Nonlinear,9,OU,True,-10.433619317144183,-0.4536356224845297,0.4314057443677425,0.9565217391304348,-0.26033633380226895
Nonlinear,9,OULB,True,-4.8651873779499315,-0.2115298859978231,0.3415929534647331,1.0,-0.1961580514733095
Nonlinear,10,OU,True,-11.478861471384278,-0.49908093353844685,0.4235941444431194,0.9565217391304348,-0.3304927029339514
Nonlinear,10,OULB,True,-10.660844870005914,-0.4635149943480832,0.43290132735925413,1.0,-0.29719584998357274
Nonlinear,11,OU,True,-15.414497848639474,-0.6701955586364988,0.4371780196234069,0.9565217391304348,-0.26370706065320226
Nonlinear,11,OULB,True,-15.49163519562747,-0.6735493563316292,0.4665378543692115,0.8695652173913043,-0.306453148671609
Nonlinear,12,OU,True,-13.013680809425175,-0.5658122091054424,0.43593958992958876,0.9130434782608695,-0.06663313202727487
Nonlinear,12,OULB,True,-13.493908253310986,-0.5866916631874342,0.46639715561991596,0.8695652173913043,-0.11548499945585546
Nonlinear,13,OU,True,-17.564016547811786,-0.7636528933831211,0.56334217671797,0.9565217391304348,-0.2611525112726679
Nonlinear,13,OULB,True,-18.055694327879298,-0.7850301881686651,0.6000127563123575,0.8695652173913043,-0.23883096765071962
Nonlinear,14,OU,True,-10.0181875003382,-0.43557336957992177,0.3620267808072816,1.0,0.24670586146168705
Nonlinear,14,OULB,True,-8.018368342744747,-0.3486247105541194,0.37144653911796127,1.0,0.3259581404573116
Nonlinear,15,OU,True,-12.249087915160217,-0.5325690397895747,0.3902218286283232,1.0,-0.3922578205358499
Nonlinear,15,OULB,True,-9.011142332629033,-0.39178879707082753,0.34603814815336675,1.0,-0.37549906831039215
Nonlinear,16,OU,True,-8.84744717219496,-0.38467161618238954,0.28801270310009636,1.0,-0.19474047670814537
Nonlinear,16,OULB,True,-6.066078840507713,-0.2637425582829441,0.25495012812088724,1.0,-0.0687007034555245
Nonlinear,17,OU,True,-13.082588625347302,-0.5688082011020567,0.43278108130846094,0.9130434782608695,0.16113054211800618
Nonlinear,17,OULB,True,-12.985306458705677,-0.5645785416828556,0.45498352955489324,0.9130434782608695,0.19535468033230996
Nonlinear,18,OU,True,-16.52811062410829,-0.7186135053960127,0.48335213337710675,0.9565217391304348,-0.17459327922496976
Nonlinear,18,OULB,True,-15.554410691497807,-0.676278725717296,0.4747154679974962,0.8695652173913043,-0.14360238350094243
Nonlinear,19,OU,True,-12.560428272491567,-0.5461055770648507,0.40386922450068885,0.9565217391304348,0.021668682361902274
Nonlinear,19,OULB,True,-11.336641891383605,-0.4928974735384176,0.3603851710107812,0.9565217391304348,-0.06718946763196809
Nonlinear,20,OU,True,-15.831968135738999,-0.6883464406843043,0.4373216143164861,0.9130434782608695,-0.32838053299769276
Nonlinear,20,OULB,True,-14.507972155637713,-0.6307813980712049,0.4319902053371607,0.8695652173913043,-0.27442720509008706
Nonlinear,21,OU,True,-13.100141110002085,-0.5695713526087863,0.40929761445797747,1.0,-0.44172944213029375
Nonlinear,21,OULB,True,-11.107707009006399,-0.4829437830002782,0.40053589551618357,1.0,-0.3555448143104843
Nonlinear,22,OU,True,-13.38735986148669,-0.5820591244124648,0.449316342378657,0.9130434782608695,-0.1863112454712565
Nonlinear,22,OULB,True,-10.55623518630321,-0.45896674723057435,0.42392781677367525,0.9565217391304348,-0.194645729765939
Nonlinear,23,OU,True,-10.065948365445491,-0.43764992893241267,0.42271098949098307,1.0,0.07424417789293249
