generator,difficulty,dataset_role,trajectory_id,obs_index,time,latent_state,observed_state,treatment,true_branch,jump_event,true_theta,true_sigma,true_obs_noise,true_treatment_shift,true_jump_time,true_jump_size,true_jump_lambda,true_jump_scale,true_branch_time,true_branch_sep,true_branch_q,true_n_branch_switches
OU,Easy,train,1,10,1.6247998694599586,0.0,0.04306144554303505,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,11,1.8465938983152674,0.0,0.04151754986841589,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,12,2.1024104198574034,0.0,0.09364127792563076,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,13,2.2767062914694733,0.0,-0.07243809393693257,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,14,2.473886204751039,0.0,0.12191407400279955,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,15,2.5083849114292542,0.0,0.015246712243245565,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,16,2.6343136418961723,0.0,-0.02662950101427436,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,17,2.7282905815945577,0.0,0.0665926636928864,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,18,2.8047222611165603,0.0,0.038234303233289565,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,19,2.934870365861234,0.0,0.013224197778025942,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,20,3.5893247959542176,0.0,-0.014482282082112287,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,21,3.8964079337919353,0.0,-0.016352201875949927,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,22,3.927230315406809,0.0,0.046774356470265274,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,23,3.9530590944035504,0.0,0.03239526444159944,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,24,4.276638594594587,0.0,-0.08255410971885496,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,25,4.288730616000979,0.0,0.06345832242588159,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,26,4.44918830348384,0.0,0.0312972677359841,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,27,4.474316167211308,0.0,-0.02240720930571682,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,28,4.640213861455164,0.0,-0.026769584145352982,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,29,4.985433466777746,0.0,0.04373598494254955,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,30,5.242443470603851,0.0,-0.041556601549834954,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,31,5.5422304809698115,0.0,-0.055939529543798605,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,32,5.743697135518887,0.0,-0.07189710779765329,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,33,5.749432305115331,0.0,0.045006152285293505,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,34,5.77939951603006,0.0,-0.00796140498013588,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,35,5.905461312615089,0.0,0.02997566544623936,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,36,6.052892571378225,0.0,-0.06339108321209322,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,37,6.348671511847818,0.0,-0.042016337125290244,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,38,6.436145590038551,0.0,-0.06305112295133768,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,39,6.560563352078437,0.0,0.019545575006252605,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,40,6.600439840025873,0.0,-0.028624424845307413,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,41,6.672278444210992,0.0,0.020947617100939432,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,42,6.81862625642259,0.0,0.07408035651769991,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,43,6.884613600458173,0.0,-0.03739717875139089,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,44,7.481201721711315,0.0,-0.004411878548781216,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,45,7.73533778889668,0.0,-0.03404190723938207,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,46,7.7938714649031935,0.0,-0.0003210612088100375,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,47,7.853594015291147,0.0,0.015167050969324468,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,48,7.9446668729330305,0.0,0.013974688381980009,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,49,8.27386536338166,0.0,-0.09892998336822541,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,50,8.708796931525065,0.0,-0.040862129968863396,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,51,8.753564972708917,0.0,-0.08348931766120275,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,52,8.856492373285565,0.0,-0.006456981801983477,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,53,9.040052946808153,0.0,-0.049501575268299076,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,54,9.342982101558356,0.0,-0.008216555885552639,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,55,9.530290172685019,0.0,-0.003479690395190964,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,56,9.62427653128002,0.0,0.14412147184329785,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,57,9.74843480135793,0.0,0.01344833925323512,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,58,9.943090577231974,0.0,-0.04285021446197903,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,1,59,10.0,0.007273924895185008,-0.04929414526460869,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,0,0.0,-0.007689561943960749,0.02655412177204556,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,1,0.001999051799560503,0.0,0.02972445312330592,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,2,0.16450892612050683,0.0,0.0884080498586931,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
OU,Easy,train,2,3,0.22540809266239137,0.0,-0.051967212858135575,0,0,0,0.65,0.16,0.05,0.0,,,0.0,0.0,,0.0,0.0,0
