scenario,replicate,parameter,truth,estimate,error,abs_error,sq_error
ou,20,sigma,0.25,0.1974522458640222,-0.05254775413597779,0.05254775413597779,0.0027612664647351706
shifted_ou,20,theta,0.7,3.094862246097685,2.394862246097685,2.394862246097685,5.7353651777840495
shifted_ou,20,mu0,0.1,0.03373334751947794,-0.06626665248052208,0.06626665248052208,0.004391269230974283
shifted_ou,20,delta,0.6,0.3205098775257703,-0.27949012247422966,0.27949012247422966,0.0781147285606599
shifted_ou,20,sigma,0.2,0.21678938239878043,0.016789382398780417,0.016789382398780417,0.0002818833613324777
brownian,21,drift,0.15,0.34175326513148147,0.19175326513148147,0.19175326513148147,0.03676931468858423
brownian,21,sigma,0.3,0.25005291626846293,-0.049947083731537056,0.049947083731537056,0.0024947111732851737
ou,21,theta,0.8,0.6645843737923524,-0.1354156262076477,0.1354156262076477,0.01833739182120936
ou,21,mu,0.2,0.2756159491720244,0.07561594917202441,0.07561594917202441,0.005717771769186179
ou,21,sigma,0.25,0.2054012100260996,-0.044598789973900405,0.044598789973900405,0.001989052067136079
shifted_ou,21,theta,0.7,2.1564621561755564,1.4564621561755564,1.4564621561755564,2.121282012371551
shifted_ou,21,mu0,0.1,0.00365272401910657,-0.09634727598089343,0.09634727598089343,0.009282797588938444
shifted_ou,21,delta,0.6,0.6102687219433779,0.010268721943377912,0.010268721943377912,0.00010544665035041104
shifted_ou,21,sigma,0.2,0.19683101580732235,-0.003168984192677665,0.003168984192677665,1.0042460813440913e-05
brownian,22,drift,0.15,-0.03281708359497385,-0.18281708359497384,0.18281708359497384,0.03342208605417165
brownian,22,sigma,0.3,0.29171507931869883,-0.008284920681301156,0.008284920681301156,6.86399106954516e-05
ou,22,theta,0.8,2.1269932567087424,1.3269932567087424,1.3269932567087424,1.760911103350474
ou,22,mu,0.2,0.21564663305847218,0.015646633058472165,0.015646633058472165,0.00024481712606647403
ou,22,sigma,0.25,0.30555950932056,0.055559509320559974,0.055559509320559974,0.0030868590759413907
shifted_ou,22,theta,0.7,0.48217194581500455,-0.2178280541849954,0.2178280541849954,0.04744906119002129
shifted_ou,22,mu0,0.1,0.21976902954954813,0.11976902954954813,0.11976902954954813,0.014344620439240533
shifted_ou,22,delta,0.6,0.5588076103248154,-0.04119238967518457,0.04119238967518457,0.0016968129671522524
shifted_ou,22,sigma,0.2,0.16782942591845237,-0.03217057408154764,0.03217057408154764,0.0010349458367363445
brownian,23,drift,0.15,0.17342397410726937,0.023423974107269374,0.023423974107269374,0.0005486825629780261
brownian,23,sigma,0.3,0.2777668311700106,-0.02223316882998938,0.02223316882998938,0.0004943137962228113
ou,23,theta,0.8,1.1099927332660378,0.3099927332660377,0.3099927332660377,0.0960954946777488
ou,23,mu,0.2,0.5547292074422511,0.35472920744225106,0.35472920744225106,0.1258328106126076
ou,23,sigma,0.25,0.29879221742296963,0.04879221742296963,0.04879221742296963,0.002380680481050341
shifted_ou,23,theta,0.7,5.923746751715528,5.223746751715527,5.223746751715527,27.287530126058524
shifted_ou,23,mu0,0.1,0.12340442875944391,0.0234044287594439,0.0234044287594439,0.0005477672855558848
shifted_ou,23,delta,0.6,0.11365107082041362,-0.4863489291795864,0.4863489291795864,0.23653528091413034
shifted_ou,23,sigma,0.2,0.2976260787743953,0.09762607877439528,0.09762607877439528,0.009530851256864432
brownian,24,drift,0.15,0.01982645542703935,-0.13017354457296065,0.13017354457296065,0.016945151706688574
brownian,24,sigma,0.3,0.21475054935223828,-0.08524945064776171,0.08524945064776171,0.00726746883574516
ou,24,theta,0.8,1.6694418400389575,0.8694418400389574,0.8694418400389574,0.755929113210328
ou,24,mu,0.2,0.2239670906045628,0.023967090604562785,0.023967090604562785,0.0005744214320473217
ou,24,sigma,0.25,0.22128159594935343,-0.028718404050646573,0.028718404050646573,0.0008247467312161935
shifted_ou,24,theta,0.7,1.1443243243793961,0.4443243243793962,0.4443243243793962,0.19742410523520687
shifted_ou,24,mu0,0.1,0.05382783203836486,-0.04617216796163515,0.04617216796163515,0.002131869094277447
shifted_ou,24,delta,0.6,0.8265757865576939,0.22657578655769395,0.22657578655769395,0.05133658705423769
shifted_ou,24,sigma,0.2,0.12899549083226558,-0.07100450916773443,0.07100450916773443,0.005041640322150883
brownian,25,drift,0.15,0.129304072732019,-0.020695927267981,0.020695927267981,0.0004283214054815596
brownian,25,sigma,0.3,0.2718023541411481,-0.028197645858851872,0.028197645858851872,0.0007951072319812261
ou,25,theta,0.8,1.9056104852853613,1.1056104852853612,1.1056104852853612,1.222374545172932
ou,25,mu,0.2,0.32124581359545784,0.12124581359545783,0.12124581359545783,0.014700547314424507
ou,25,sigma,0.25,0.2390570420431633,-0.010942957956836696,0.010942957956836696,0.00011974832884509557
shifted_ou,25,theta,0.7,0.9232294123528609,0.22322941235286098,0.22322941235286098,0.04983137053940364
shifted_ou,25,mu0,0.1,0.12758128952023914,0.02758128952023914,0.02758128952023914,0.0007607275315992533
shifted_ou,25,delta,0.6,0.6516853203211819,0.05168532032118189,0.05168532032118189,0.002671372336703178
shifted_ou,25,sigma,0.2,0.2251374704529693,0.025137470452969296,0.025137470452969296,0.0006318924207739044
