scenario,replicate,parameter,truth,estimate,error,abs_error,sq_error
ou,90,theta,0.8,0.5369128337559965,-0.2630871662440035,0.2630871662440035,0.06921485704229995
ou,90,mu,0.2,-0.16207626585537702,-0.362076265855377,0.362076265855377,0.13109922229577364
ou,90,sigma,0.25,0.22313026355398038,-0.026869736446019615,0.026869736446019615,0.0007219827366785548
shifted_ou,90,theta,0.7,0.9982164780713692,0.2982164780713692,0.2982164780713692,0.08893306779329142
shifted_ou,90,mu0,0.1,0.15174425162796878,0.05174425162796878,0.05174425162796878,0.0026774675765385498
shifted_ou,90,delta,0.6,0.24148941360223028,-0.35851058639776967,0.35851058639776967,0.12852984055927266
shifted_ou,90,sigma,0.2,0.13816083469175877,-0.06183916530824124,0.06183916530824124,0.003824082366019987
brownian,91,drift,0.15,0.1289626600332774,-0.021037339966722607,0.021037339966722607,0.00044256967287546436
brownian,91,sigma,0.3,0.28406485276166715,-0.015935147238332836,0.015935147238332836,0.0002539289175073466
ou,91,theta,0.8,2.03227125502835,1.23227125502835,1.23227125502835,1.5184924459691451
ou,91,mu,0.2,0.282804769238223,0.082804769238223,0.082804769238223,0.006856629808595361
ou,91,sigma,0.25,0.2724515808555397,0.02245158085553972,0.02245158085553972,0.0005040734829128377
shifted_ou,91,theta,0.7,1.9837605451547584,1.2837605451547585,1.2837605451547585,1.6480411372960426
shifted_ou,91,mu0,0.1,0.1487113567379947,0.048711356737994704,0.048711356737994704,0.002372796275256182
shifted_ou,91,delta,0.6,0.5228811239126423,-0.07711887608735768,0.07711887608735768,0.005947321048977228
shifted_ou,91,sigma,0.2,0.1550935536739981,-0.04490644632600191,0.04490644632600191,0.0020165889216300905
brownian,92,drift,0.15,0.18799036171413555,0.037990361714135557,0.037990361714135557,0.0014432675831708567
brownian,92,sigma,0.3,0.2979042240366901,-0.0020957759633098982,0.0020957759633098982,4.392276888387532e-06
ou,92,theta,0.8,2.7494321293895188,1.9494321293895187,1.9494321293895187,3.8002856270961534
ou,92,mu,0.2,0.418227412973286,0.21822741297328596,0.21822741297328596,0.0476232037730131
ou,92,sigma,0.25,0.3243213613769224,0.07432136137692241,0.07432136137692241,0.005523664756919094
shifted_ou,92,theta,0.7,2.49070720124537,1.7907072012453702,1.7907072012453702,3.206632280592027
shifted_ou,92,mu0,0.1,0.07334035367671324,-0.026659646323286768,0.026659646323286768,0.0007107367420827377
shifted_ou,92,delta,0.6,0.33465196904416394,-0.26534803095583603,0.26534803095583603,0.07040957753213932
shifted_ou,92,sigma,0.2,0.2626772626945629,0.06267726269456286,0.06267726269456286,0.003928439258883242
brownian,93,drift,0.15,-0.016315623675237693,-0.1663156236752377,0.1663156236752377,0.027660886678483286
brownian,93,sigma,0.3,0.2629139102215976,-0.03708608977840239,0.03708608977840239,0.001375378055051722
ou,93,theta,0.8,1.7311030799658917,0.9311030799658917,0.9311030799658917,0.8669529455219697
ou,93,mu,0.2,0.43239710880365223,0.23239710880365222,0.23239710880365222,0.054008416180296566
ou,93,sigma,0.25,0.2948972793412207,0.044897279341220675,0.044897279341220675,0.0020157656922436006
shifted_ou,93,theta,0.7,1.0487878944127351,0.34878789441273517,0.34878789441273517,0.12165299528886929
shifted_ou,93,mu0,0.1,0.5008374143970714,0.40083741439707143,0.40083741439707143,0.16067063278052957
shifted_ou,93,delta,0.6,0.31395984430147916,-0.2860401556985208,0.2860401556985208,0.08181897067203403
shifted_ou,93,sigma,0.2,0.20789973167933423,0.007899731679334221,0.007899731679334221,6.240576060547667e-05
brownian,94,drift,0.15,0.04398838030943697,-0.10601161969056302,0.10601161969056302,0.01123846350941657
brownian,94,sigma,0.3,0.30131065870228463,0.0013106587022846394,0.0013106587022846394,1.717826233874455e-06
ou,94,theta,0.8,1.5974569953209115,0.7974569953209114,0.7974569953209114,0.6359376593862561
ou,94,mu,0.2,0.3869177132621793,0.18691771326217926,0.18691771326217926,0.03493823153116227
ou,94,sigma,0.25,0.25766797696711163,0.007667976967111634,0.007667976967111634,5.879787076815453e-05
shifted_ou,94,theta,0.7,1.4351919101332742,0.7351919101332742,0.7351919101332742,0.5405071447254124
shifted_ou,94,mu0,0.1,0.0475485805871842,-0.05245141941281581,0.05245141941281581,0.002751151398419111
shifted_ou,94,delta,0.6,0.7552225807718466,0.15522258077184659,0.15522258077184659,0.02409404958147244
shifted_ou,94,sigma,0.2,0.1332670675369814,-0.06673293246301862,0.06673293246301862,0.004453284275113804
brownian,95,drift,0.15,-0.19126801497902315,-0.34126801497902315,0.34126801497902315,0.11646385804772277
brownian,95,sigma,0.3,0.2807373724660949,-0.019262627533905063,0.019262627533905063,0.00037104881950995747
ou,95,theta,0.8,0.45310236229733253,-0.3468976377026675,0.3468976377026675,0.12033797104369118
ou,95,mu,0.2,0.31115518251397517,0.11115518251397516,0.11115518251397516,0.012355474599715128
ou,95,sigma,0.25,0.17316818626985223,-0.07683181373014777,0.07683181373014777,0.005903127601064124
shifted_ou,95,theta,0.7,0.5561886675504887,-0.14381133244951128,0.14381133244951128,0.020681699340903855
shifted_ou,95,mu0,0.1,0.2107095784149732,0.1107095784149732,0.1107095784149732,0.0122566107528211
shifted_ou,95,delta,0.6,0.5284918925559424,-0.07150810744405756,0.07150810744405756,0.00511340943023088
shifted_ou,95,sigma,0.2,0.1667802474608035,-0.03321975253919651,0.03321975253919651,0.001103551958765453
brownian,96,drift,0.15,-0.11138426039169924,-0.26138426039169926,0.26138426039169926,0.06832173158051565
brownian,96,sigma,0.3,0.31972305763955156,0.019723057639551567,0.019723057639551567,0.0003889990026530734
ou,96,theta,0.8,0.8131714860035916,0.013171486003591526,0.013171486003591526,0.00017348804354280748
ou,96,mu,0.2,0.14938755704489323,-0.05061244295510678,0.05061244295510678,0.002561619381883938
ou,96,sigma,0.25,0.25663816336530826,0.006638163365308258,0.006638163365308258,4.406521286452066e-05
shifted_ou,96,theta,0.7,0.6863562825062665,-0.013643717493733498,0.013643717493733498,0.0001861510270488095
shifted_ou,96,mu0,0.1,-0.055153849218658714,-0.1551538492186587,0.1551538492186587,0.024072716927366282
shifted_ou,96,delta,0.6,0.911986650780861,0.3119866507808611,0.3119866507808611,0.09733567026545896
shifted_ou,96,sigma,0.2,0.10513214155877482,-0.0948678584412252,0.0948678584412252,0.008999910565224343
brownian,97,drift,0.15,0.1491340146454325,-0.0008659853545675,0.0008659853545675,7.499306343253988e-07
brownian,97,sigma,0.3,0.2870277663690604,-0.012972233630939578,0.012972233630939578,0.00016827884537567984
ou,97,theta,0.8,0.6315050633106678,-0.16849493668933224,0.16849493668933224,0.02839054368994208
ou,97,mu,0.2,0.18952650723931563,-0.010473492760684378,0.010473492760684378,0.00010969405060810806
ou,97,sigma,0.25,0.23401650142414415,-0.015983498575855848,0.015983498575855848,0.0002554722267243859
shifted_ou,97,theta,0.7,1.2135215738385419,0.5135215738385419,0.5135215738385419,0.26370440679761303
shifted_ou,97,mu0,0.1,0.17162830329551887,0.07162830329551886,0.07162830329551886,0.005130613832994839
shifted_ou,97,delta,0.6,0.41981627805806776,-0.18018372194193222,0.18018372194193222,0.03246617365284755
shifted_ou,97,sigma,0.2,0.1813786959675974,-0.018621304032402614,0.018621304032402614,0.0003467529638671738
brownian,98,drift,0.15,0.0508594096527298,-0.09914059034727019,0.09914059034727019,0.009828856654405242
brownian,98,sigma,0.3,0.29131963208462464,-0.008680367915375353,0.008680367915375353,7.534878714627786e-05
ou,98,theta,0.8,1.3280647025844015,0.5280647025844014,0.5280647025844014,0.2788523301155523
ou,98,mu,0.2,0.5256692084174148,0.3256692084174148,0.3256692084174148,0.10606043331122557
ou,98,sigma,0.25,0.32528740471902534,0.07528740471902534,0.07528740471902534,0.005668193309326319
shifted_ou,98,theta,0.7,2.620170237169156,1.9201702371691562,1.9201702371691562,3.6870537397102536
shifted_ou,98,mu0,0.1,0.3053604229633813,0.20536042296338128,0.20536042296338128,0.042172903319698855
shifted_ou,98,delta,0.6,0.12233049356009136,-0.47766950643990863,0.47766950643990863,0.22816815738254592
shifted_ou,98,sigma,0.2,0.19742237571384164,-0.0025776242861583754,0.0025776242861583754,6.644146960593474e-06
brownian,99,drift,0.15,0.12809076990955676,-0.021909230090443238,0.021909230090443238,0.00048001436315598344
brownian,99,sigma,0.3,0.25002027427394824,-0.04997972572605175,0.04997972572605175,0.002497972983651359
ou,99,theta,0.8,0.5047137105740132,-0.2952862894259869,0.2952862894259869,0.0871939927229677
ou,99,mu,0.2,-0.14517609674051793,-0.34517609674051797,0.34517609674051797,0.11914653776101942
ou,99,sigma,0.25,0.2149301455435736,-0.03506985445642641,0.03506985445642641,0.001229894691594931
shifted_ou,99,theta,0.7,2.271599165095016,1.571599165095016,1.571599165095016,2.4699239357273517
shifted_ou,99,mu0,0.1,0.21017859783079776,0.11017859783079775,0.11017859783079775,0.012139323419960671
shifted_ou,99,delta,0.6,0.4701243554616216,-0.12987564453837835,0.12987564453837835,0.01686768304425921
shifted_ou,99,sigma,0.2,0.1619448358990137,-0.038055164100986305,0.038055164100986305,0.0014481955147529967
