replicate_id,seed,n_observations,true_mu,estimated_mu,mu_lower_95,mu_upper_95,true_theta,estimated_theta,theta_lower_95,theta_upper_95,true_sigma,estimated_sigma,sigma_lower_95,sigma_upper_95,fit_success,convergence_status,runtime_seconds,sequence_index,spawn_key,child_state_uint32,rng_reconstruction,runtime_status
OU_N050_R101,20260805,50,0.317360726622055,0.496620570891911,0.392701772554726,0.600539369229096,1.09714042918239,1.76053102279638,0.312254342193528,3.20880770339922,0.312307413574496,0.288722578898792,0.222111626820127,0.355333530977458,TRUE,successful_fit,,220,"(220,)",1576724975,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[220]),not_recorded_by_Figure_S2_script
OU_N050_R102,20260805,50,-0.735949388579742,-0.965905733668373,-1.36158363953095,-0.570227827805796,0.968793353570159,1.18456942066096,0.0900239784830823,2.27911486283884,0.672959175479549,0.73947203143268,0.577676032614884,0.901268030250476,TRUE,successful_fit,,221,"(221,)",1955135842,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[221]),not_recorded_by_Figure_S2_script
OU_N050_R103,20260805,50,0.255309074390405,0.20427444424801,-0.222782061660061,0.631330950156082,0.828057702515531,0.982326800293053,0,2.02513201895562,0.67584385179577,0.657343555347953,0.513372163669358,0.801314947026548,TRUE,successful_fit,,222,"(222,)",2219743911,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[222]),not_recorded_by_Figure_S2_script
OU_N050_R104,20260805,50,-1.04591131364666,-1.2778478164397,-1.85034816612822,-0.705347466751176,0.635958589674837,0.782280689856959,0,1.57157042612571,0.730082098252983,0.71635116585926,0.565131921471106,0.867570410247414,TRUE,successful_fit,,223,"(223,)",3768598221,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[223]),not_recorded_by_Figure_S2_script
OU_N050_R105,20260805,50,0.362669209022902,0.464973561016686,0.281393203730519,0.648553918302852,1.22831002651782,2.21129350764793,0.476024178815782,3.94656283648008,0.716808813286296,0.621872477379683,0.476459119075412,0.767285835683954,TRUE,successful_fit,,224,"(224,)",1983435446,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[224]),not_recorded_by_Figure_S2_script
OU_N050_R106,20260805,50,0.993099107301672,1.50792669102814,1.053792398558,1.96206098349827,0.714239485266571,0.56307485433197,0,1.30683090431007,0.402722244372682,0.409106640735163,0.323310207571639,0.494903073898687,TRUE,successful_fit,,225,"(225,)",710227700,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[225]),not_recorded_by_Figure_S2_script
OU_N050_R107,20260805,50,0.713671993671494,0.709625026640058,0.479061132071073,0.940188921209043,1.01700182846926,0.662905305724678,0,1.42964962825769,0.244186929430542,0.245193030395622,0.193511044728594,0.29687501606265,TRUE,successful_fit,,226,"(226,)",3901386650,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[226]),not_recorded_by_Figure_S2_script
OU_N050_R108,20260805,50,0.920283842632927,0.576526560607932,0.106514153266637,1.04653896794923,0.673967315373472,1.06050500644677,0.00784737413753334,2.113162638756,0.748608427754099,0.787902024348945,0.616844079494414,0.958959969203476,TRUE,successful_fit,,227,"(227,)",895581748,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[227]),not_recorded_by_Figure_S2_script
OU_N050_R109,20260805,50,-0.393048192795179,-0.201418387396432,-0.519971849247652,0.117135074454787,1.04618269285458,1.04717010061518,0,2.14240276348077,0.599854863995677,0.528527277894833,0.411724976045046,0.645329579744621,TRUE,successful_fit,,228,"(228,)",3273797913,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[228]),not_recorded_by_Figure_S2_script
OU_N050_R110,20260805,50,-0.779962743456237,-0.848253709681823,-0.994334427617808,-0.702172991745838,1.34415020045237,1.44933919563974,0.205183682627332,2.69349470865215,0.337585556736417,0.336146840027495,0.260810659600962,0.411483020454028,TRUE,successful_fit,,229,"(229,)",3491606641,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[229]),not_recorded_by_Figure_S2_script
OU_N050_R111,20260805,50,-1.23143853940561,-1.08824480453735,-1.27105669340025,-0.905432915674446,0.323692737399864,1.37576214938356,0,2.76726107284405,0.35011450879339,0.388455726472812,0.298536403990909,0.478375048954715,TRUE,successful_fit,,230,"(230,)",1811647058,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[230]),not_recorded_by_Figure_S2_script
OU_N050_R112,20260805,50,-0.294980555016918,-0.472663543134536,-0.790146647536935,-0.155180438732137,1.12895525665341,1.41130055646894,0.0939893749001062,2.72861173803778,0.643359691682722,0.698321098369647,0.54119739438062,0.855444802358674,TRUE,successful_fit,,231,"(231,)",4163934663,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[231]),not_recorded_by_Figure_S2_script
OU_N050_R113,20260805,50,-1.1191470294797,-1.23574920026563,-1.32632876683124,-1.14516963370002,1.33909716733155,6,1.48952577969978,10.5104742203002,0.796043537276064,0.69243035987737,0.503470002092296,0.881390717662444,TRUE,successful_fit,,232,"(232,)",1798899696,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[232]),not_recorded_by_Figure_S2_script
OU_N050_R114,20260805,50,0.858198285316391,0.937447368774785,-0.151022806216823,2.02591754376639,0.397369683623453,0.438816596705974,0,1.02767424807957,0.647510271033383,0.688322657423903,0.546496240668694,0.830149074179111,TRUE,successful_fit,,233,"(233,)",2065133950,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[233]),not_recorded_by_Figure_S2_script
OU_N050_R115,20260805,50,0.585287561962291,0.51249536581021,-0.662234878207689,1.68722560982811,0.436834787645856,0.58740982649856,0,1.38328864615775,0.849503767682925,0.916251278642987,0.722197459640841,1.11030509764513,TRUE,successful_fit,,234,"(234,)",2447615528,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[234]),not_recorded_by_Figure_S2_script
OU_N050_R116,20260805,50,-0.882115582037387,-0.934509421930031,-1.04658072339411,-0.822438120465948,0.463642593104907,1.42361335481383,0.147006496911697,2.70022021271597,0.22873987412549,0.252450642682949,0.195846553336121,0.309054732029777,TRUE,successful_fit,,235,"(235,)",350036240,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[235]),not_recorded_by_Figure_S2_script
OU_N050_R117,20260805,50,-0.68254034863501,-0.848852493598472,-1.26707880386156,-0.430626183335384,0.541936521813919,1.47482446104607,0.216106667514994,2.73354225457714,0.871946329082701,0.982909157413478,0.761147468794219,1.20467084603274,TRUE,successful_fit,,236,"(236,)",3190859743,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[236]),not_recorded_by_Figure_S2_script
OU_N050_R118,20260805,50,-0.655096308311714,-1.26050156926056,-1.4571332837889,-1.06386985473222,0.361792564208465,1.29654971960775,0.260547649465305,2.33255178975019,0.456451736777537,0.393885237717999,0.309443369698645,0.478327105737353,TRUE,successful_fit,,237,"(237,)",1921599014,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[237]),not_recorded_by_Figure_S2_script
OU_N050_R119,20260805,50,-0.435995269874925,-0.523840162503444,-0.875941376520576,-0.171738948486312,0.478689982967648,1.27363943833206,0.00304024965762606,2.5442386270065,0.704340010090627,0.704640371281227,0.545358990124294,0.863921752438161,TRUE,successful_fit,,238,"(238,)",3806309026,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[238]),not_recorded_by_Figure_S2_script
OU_N050_R120,20260805,50,0.906239336397666,0.376883431936319,-1.35346631012997,2.10723317400261,0.695462057415154,0.279259685359149,0,0.927246888306865,0.871720096383833,0.707042934206186,0.559996663507016,0.854089204905356,TRUE,successful_fit,,239,"(239,)",2734045738,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[239]),not_recorded_by_Figure_S2_script
OU_N100_R001,20260805,100,0.62828924836851,0.654705198677607,0.508397990267647,0.801012407087568,1.3024922076036,2.33146937887025,0.779628785882618,3.88330997185789,0.505506631131811,0.541458271123792,0.457762509150127,0.625154033097457,TRUE,successful_fit,,240,"(240,)",3243062662,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[240]),not_recorded_by_Figure_S2_script
OU_N100_R002,20260805,100,-0.119811770306056,-0.11787234667082,-0.364296973087306,0.128552279745665,0.592658320707951,0.90442616699243,0.130909557074405,1.67794277691046,0.391165688260443,0.35005415084851,0.299625086136311,0.400483215560709,TRUE,successful_fit,,241,"(241,)",504258371,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[241]),not_recorded_by_Figure_S2_script
OU_N100_R003,20260805,100,-0.438141104437282,-0.438945916757445,-1.21458487723141,0.336693043716519,0.628627643086523,0.48700947299192,0,1.13547059347064,0.563017773860494,0.580867068553503,0.497870536130851,0.663863600976156,TRUE,successful_fit,,242,"(242,)",2625396016,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[242]),not_recorded_by_Figure_S2_script
OU_N100_R004,20260805,100,-0.465306843217854,-0.590877544604722,-0.81590510458078,-0.365849984628663,1.13841392969031,2.09220369813141,0.631576515095048,3.55283088116778,0.728681277619877,0.750634102968554,0.635922480102273,0.865345725834836,TRUE,successful_fit,,243,"(243,)",1881871001,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[243]),not_recorded_by_Figure_S2_script
OU_N100_R005,20260805,100,-0.255202530796422,-0.255308469403417,-0.589550756477131,0.0789338176702974,0.79101312782101,1.44885875386985,0.0900470044630535,2.80767050327665,0.683841106434867,0.724293955490994,0.613804591776981,0.834783319205008,TRUE,successful_fit,,244,"(244,)",793782330,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[244]),not_recorded_by_Figure_S2_script
OU_N100_R006,20260805,100,-0.369050410149315,-0.312028214213479,-0.780848939826476,0.156792511399518,0.988028708735569,1.00967779653883,0.0665963163191177,1.95275927675853,0.68718196254766,0.762106175938315,0.65059439612063,0.873617955755999,TRUE,successful_fit,,245,"(245,)",1344248622,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[245]),not_recorded_by_Figure_S2_script
OU_N100_R007,20260805,100,0.250257214322987,-1.03814071151442,-4.63662840032817,2.56034697729934,0.349383719649523,0.238913631328585,0,0.762077380389251,0.893672427066091,0.874729474640147,0.750782123209352,0.998676826070943,TRUE,successful_fit,,246,"(246,)",112125194,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[246]),not_recorded_by_Figure_S2_script
OU_N100_R008,20260805,100,-0.921095466275136,-0.847983972077553,-1.2896874029878,-0.406280541167309,0.399197292811882,0.666160333944848,0,1.40967867747463,0.513889885953642,0.47438345381992,0.406122263822059,0.542644643817781,TRUE,successful_fit,,247,"(247,)",2737752476,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[247]),not_recorded_by_Figure_S2_script
OU_N100_R009,20260805,100,1.57732060068915,1.75602847656474,1.18592066125137,2.32613629187811,1.19003696514286,1.0705594580037,0.118954377027989,2.0221645389794,0.880550210883003,0.981072991751602,0.83736076750496,1.12478521599824,TRUE,successful_fit,,248,"(248,)",2950519807,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[248]),not_recorded_by_Figure_S2_script
OU_N100_R010,20260805,100,1.12608285146947,1.07875551234485,0.811181183103682,1.34632984158603,1.05262651897483,2.23468039069617,0.658858852291184,3.81050192910116,0.843014535666836,0.948528209498207,0.801736175231146,1.09532024376527,TRUE,successful_fit,,249,"(249,)",61767308,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[249]),not_recorded_by_Figure_S2_script
OU_N100_R011,20260805,100,-0.249065746388514,-0.313982585527962,-0.489660469326101,-0.138304701729823,0.982383342058422,1.20059663182807,0.044007257440374,2.35718600621577,0.28644377637553,0.330576246848865,0.28121043587833,0.379942057819399,TRUE,successful_fit,,250,"(250,)",2815717284,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[250]),not_recorded_by_Figure_S2_script
OU_N100_R012,20260805,100,1.58973856933954,1.45394005229991,0.208747307117609,2.69913279748221,0.411165356006217,0.386120243475803,0,0.924885920423559,0.724755394982828,0.75518734923446,0.648098610029177,0.862276088439744,TRUE,successful_fit,,251,"(251,)",2649565263,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[251]),not_recorded_by_Figure_S2_script
OU_N100_R013,20260805,100,0.0522616204139046,-0.200926505667505,-0.650905684509442,0.249052673174431,0.90532723186501,1.04626900796101,0.103568113957579,1.98896990196444,0.746549973275075,0.754045170224238,0.643833033594595,0.864257306853882,TRUE,successful_fit,,252,"(252,)",758775689,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[252]),not_recorded_by_Figure_S2_script
OU_N100_R014,20260805,100,1.0056046567706,1.38044980255788,0.904316161854935,1.85658344326083,0.413047496149395,0.616961665544521,0,1.34151974165909,0.44490348293973,0.472289254563001,0.404429162685856,0.540149346440147,TRUE,successful_fit,,253,"(253,)",1761170567,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[253]),not_recorded_by_Figure_S2_script
OU_N100_R015,20260805,100,-0.606821983399863,-1.1527047891414,-2.07690480698994,-0.228504771292859,0.478954579401237,0.563378363852538,0,1.30467518269275,0.759130199595693,0.826551845613339,0.707608593257246,0.945495097969432,TRUE,successful_fit,,254,"(254,)",1385250863,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[254]),not_recorded_by_Figure_S2_script
OU_N100_R016,20260805,100,0.993943051493198,0.99258296827972,-0.958444600453444,2.94361053701288,0.308985265920572,0.256589022724829,0,0.664242576104346,0.818320944347986,0.784203689201682,0.673821131424229,0.894586246979135,TRUE,successful_fit,,255,"(255,)",179382416,np.random.default_rng(np.random.SeedSequence(20260805).spawn(360)[255]),not_recorded_by_Figure_S2_script
